CHR	START	END	ID	LENGTH
1	904659	904870	chr1:904659-904870	212
1	912930	913147	chr1:912930-913147	218
1	920922	921308	chr1:920922-921308	387
1	938101	938451	chr1:938101-938451	351
1	951485	951668	chr1:951485-951668	184
1	976089	976373	chr1:976089-976373	285
1	983996	984537	chr1:983996-984537	542
1	1001885	1002182	chr1:1001885-1002182	298
1	1015442	1015645	chr1:1015442-1015645	204
1	1019322	1019499	chr1:1019322-1019499	178
1	1032518	1032658	chr1:1032518-1032658	141
1	1032992	1033302	chr1:1032992-1033302	311
1	1040719	1040849	chr1:1040719-1040849	131
1	1063659	1064112	chr1:1063659-1064112	454
1	1121883	1122457	chr1:1121883-1122457	575
1	1230760	1230983	chr1:1230760-1230983	224
1	1265101	1265370	chr1:1265101-1265370	270
1	1290229	1290566	chr1:1290229-1290566	338
1	1291832	1292301	chr1:1291832-1292301	470
1	1300084	1300328	chr1:1300084-1300328	245
1	1302014	1302222	chr1:1302014-1302222	209
1	1305327	1305492	chr1:1305327-1305492	166
1	1306154	1306305	chr1:1306154-1306305	152
1	1344648	1344926	chr1:1344648-1344926	279
1	1345206	1345423	chr1:1345206-1345423	218
1	1375187	1375373	chr1:1375187-1375373	187
1	1399460	1399741	chr1:1399460-1399741	282
1	1401992	1402368	chr1:1401992-1402368	377
1	1407862	1407977	chr1:1407862-1407977	116
1	1430481	1430670	chr1:1430481-1430670	190
1	1440873	1441468	chr1:1440873-1441468	596
1	1441666	1441808	chr1:1441666-1441808	143
1	1551103	1551249	chr1:1551103-1551249	147
1	1551288	1551412	chr1:1551288-1551412	125
1	1573913	1574110	chr1:1573913-1574110	198
1	1597684	1597960	chr1:1597684-1597960	277
1	1620198	1620353	chr1:1620198-1620353	156
1	1665776	1665969	chr1:1665776-1665969	194
1	1679042	1679169	chr1:1679042-1679169	128
1	1764336	1764527	chr1:1764336-1764527	192
1	1779059	1779172	chr1:1779059-1779172	114
1	1789042	1789328	chr1:1789042-1789328	287
1	1796580	1796724	chr1:1796580-1796724	145
1	1858712	1858825	chr1:1858712-1858825	114
1	1899284	1899439	chr1:1899284-1899439	156
1	1906203	1906676	chr1:1906203-1906676	474
1	1907452	1907612	chr1:1907452-1907612	161
1	1909048	1909240	chr1:1909048-1909240	193
1	1943932	1944269	chr1:1943932-1944269	338
1	1960065	1960585	chr1:1960065-1960585	521
1	2044911	2045187	chr1:2044911-2045187	277
1	2046502	2046837	chr1:2046502-2046837	336
